"Superficial_x","Superficial_y","Wing_x","Wing_y","Basal_x","Basal_y","Stem_x","Stem_y"
0,58,0,142,0,35,0,3,
0.1,58,0.1,142,0.1,35,0.1,3,
0.2,58,0.2,142,0.2,35,0.2,3,
0.3,58,0.3,142,0.3,35,0.3,3,
0.4,58,0.4,142,0.4,35,0.4,3,
0.5,58,0.5,142,0.5,35,0.5,3,
0.6,58,0.6,142,0.6,35,0.6,3,
0.7,58,0.7,142,0.7,35,0.7,3,
0.8,58,0.8,142,0.8,35,0.8,3,
0.9,58,0.9,142,0.9,35,0.9,3,
1,58,1,142,1,35,1,3,
1.1,58,1.1,142,1.1,35,1.1,3,
1.2,58,1.2,142,1.2,35,1.2,3,
1.3,58,1.3,142,1.3,35,1.3,3,
1.4,58,1.4,142,1.4,35,1.4,3,
1.5,58,1.5,142,1.5,35,1.5,3,
1.6,58,1.6,142,1.6,35,1.6,3,
1.7,58,1.7,142,1.7,35,1.7,3,
1.8,58,1.8,142,1.8,35,1.8,3,
1.9,58,1.9,142,1.9,35,1.9,3,
2,58,2,142,2,35,2,3,
2.1,58,2.1,142,2.1,35,2.1,3,
2.2,58,2.2,142,2.2,35,2.2,3,
2.3,58,2.3,142,2.3,35,2.3,3,
2.4,58,2.4,142,2.4,35,2.4,3,
2.5,58,2.5,142,2.5,35,2.5,3,
2.6,58,2.6,142,2.6,35,2.6,3,
2.7,58,2.7,142,2.7,35,2.7,3,
2.8,58,2.8,142,2.8,35,2.8,3,
2.9,58,2.9,142,2.9,35,2.9,3,
3,58,3,142,3,35,3,3,
3.1,58,3.1,142,3.1,35,3.1,3,
3.2,58,3.2,142,3.2,35,3.2,3,
3.3,58,3.3,142,3.3,35,3.3,3,
3.4,58,3.4,142,3.4,35,3.4,3,
3.5,58,3.5,142,3.5,35,3.5,3,
3.6,58,3.6,142,3.6,35,3.6,3,
3.7,58,3.7,142,3.7,35,3.7,3,
3.8,58,3.8,142,3.8,35,3.8,3,
3.9,58,3.9,142,3.9,35,3.9,3,
4,58,4,142,4,35,4,3,
4.1,58,4.1,142,4.1,35,4.1,3,
4.2,58,4.2,142,4.2,35,4.2,3,
4.3,58,4.3,142,4.3,35,4.3,3,
4.4,58,4.4,142,4.4,35,4.4,3,
4.5,58,4.5,142,4.5,35,4.5,3,
4.6,58,4.6,142,4.6,35,4.6,3,
4.7,58,4.7,142,4.7,35,4.7,3,
4.8,58,4.8,142,4.8,35,4.8,3,
4.9,58,4.9,142,4.9,35,4.9,3,
5,58,5,142,5,35,5,3,
5.1,58,5.1,142,5.1,35,5.1,3,
5.2,58,5.2,142,5.2,35,5.2,3,
5.3,58,5.3,142,5.3,35,5.3,3,
5.4,58,5.4,142,5.4,35,5.4,3,
5.5,58,5.5,142,5.5,35,5.5,3,
5.6,58,5.6,142,5.6,35,5.6,3,
5.7,58,5.7,142,5.7,35,5.7,3,
5.8,58,5.8,142,5.8,35,5.8,3,
5.9,58,5.9,142,5.9,35,5.9,3,
6,58,6,142,6,35,6,3,
6.1,58,6.1,142,6.1,35,6.1,3,
6.2,58,6.2,142,6.2,35,6.2,3,
6.3,58,6.3,142,6.3,35,6.3,3,
6.4,58,6.4,142,6.4,35,6.4,3,
6.5,58,6.5,142,6.5,35,6.5,3,
6.6,58,6.6,142,6.6,35,6.6,3,
6.7,58,6.7,142,6.7,35,6.7,3,
6.8,58,6.8,142,6.8,35,6.8,3,
6.9,58,6.9,142,6.9,35,6.9,3,
7,58,7,142,7,35,7,3,
7.1,58,7.1,142,7.1,35,7.1,3,
7.2,58,7.2,142,7.2,35,7.2,3,
7.3,58,7.3,142,7.3,35,7.3,3,
7.4,58,7.4,142,7.4,35,7.4,3,
7.5,58,7.5,142,7.5,35,7.5,3,
7.6,58,7.6,142,7.6,35,7.6,3,
7.7,58,7.7,142,7.7,35,7.7,3,
7.8,58,7.8,142,7.8,35,7.8,3,
7.9,58,7.9,142,7.9,35,7.9,3,
8,58,8,142,8,35,8,3,
8.1,59,8.1,141,8.1,35,8.1,3,
8.2,59,8.2,141,8.2,35,8.2,3,
8.3,59,8.3,142,8.3,35,8.3,3,
8.4,59,8.4,142,8.4,35,8.4,3,
8.5,59,8.5,142,8.5,35,8.5,3,
8.6,59,8.6,142,8.6,35,8.6,3,
8.7,59,8.7,142,8.7,35,8.7,3,
8.8,59,8.8,142,8.8,35,8.8,3,
8.9,59,8.9,142,8.9,35,8.9,3,
9,59,9,142,9,35,9,3,
9.1,59,9.1,142,9.1,35,9.1,3,
9.2,59,9.2,142,9.2,35,9.2,3,
9.3,59,9.3,142,9.3,35,9.3,3,
9.4,59,9.4,142,9.4,35,9.4,3,
9.5,59,9.5,142,9.5,35,9.5,3,
9.6,59,9.6,142,9.6,35,9.6,3,
9.7,59,9.7,142,9.7,35,9.7,3,
9.8,59,9.8,142,9.8,35,9.8,3,
9.9,59,9.9,142,9.9,36,9.9,3,
10,59,10,143,10,35,10,3,
10.1,59,10.1,144,10.1,35,10.1,3,
10.2,59,10.2,144,10.2,35,10.2,3,
10.3,59,10.3,144,10.3,35,10.3,3,
10.4,59,10.4,144,10.4,35,10.4,3,
10.5,59,10.5,144,10.5,35,10.5,3,
10.6,59,10.6,144,10.6,35,10.6,3,
10.7,59,10.7,144,10.7,35,10.7,3,
10.8,59,10.8,144,10.8,35,10.8,3,
10.9,59,10.9,144,10.9,35,10.9,3,
11,59,11,144,11,35,11,3,
11.1,59,11.1,144,11.1,35,11.1,3,
11.2,59,11.2,144,11.2,35,11.2,3,
11.3,60,11.3,143,11.3,35,11.3,3,
11.4,60,11.4,143,11.4,35,11.4,3,
11.5,60,11.5,143,11.5,35,11.5,3,
11.6,60,11.6,143,11.6,35,11.6,3,
11.7,60,11.7,143,11.7,35,11.7,3,
11.8,60,11.8,143,11.8,35,11.8,3,
11.9,60,11.9,143,11.9,35,11.9,3,
12,60,12,143,12,35,12,3,
12.1,60,12.1,143,12.1,35,12.1,3,
12.2,60,12.2,143,12.2,35,12.2,3,
12.3,60,12.3,143,12.3,35,12.3,3,
12.4,60,12.4,143,12.4,35,12.4,3,
12.5,60,12.5,143,12.5,35,12.5,3,
12.6,60,12.6,143,12.6,35,12.6,3,
12.7,60,12.7,143,12.7,35,12.7,3,
12.8,60,12.8,143,12.8,35,12.8,3,
12.9,60,12.9,143,12.9,35,12.9,3,
13,60,13,143,13,35,13,3,
13.1,60,13.1,143,13.1,35,13.1,3,
13.2,60,13.2,143,13.2,35,13.2,3,
13.3,60,13.3,143,13.3,35,13.3,3,
13.4,60,13.4,143,13.4,35,13.4,3,
13.5,60,13.5,143,13.5,35,13.5,3,
13.6,60,13.6,143,13.6,35,13.6,3,
13.7,60,13.7,143,13.7,35,13.7,3,
13.8,60,13.8,143,13.8,35,13.8,3,
13.9,60,13.9,143,13.9,35,13.9,3,
14,60,14,143,14,35,14,3,
14.1,60,14.1,143,14.1,35,14.1,3,
14.2,60,14.2,143,14.2,35,14.2,3,
14.3,60,14.3,143,14.3,35,14.3,3,
14.4,60,14.4,143,14.4,35,14.4,3,
14.5,60,14.5,143,14.5,35,14.5,3,
14.6,60,14.6,143,14.6,35,14.6,3,
14.7,60,14.7,143,14.7,35,14.7,3,
14.8,60,14.8,143,14.8,35,14.8,3,
14.9,60,14.9,143,14.9,35,14.9,3,
15,60,15,143,15,35,15,3,
15.1,60,15.1,143,15.1,35,15.1,3,
15.2,60,15.2,143,15.2,35,15.2,3,
15.3,60,15.3,143,15.3,35,15.3,3,
15.4,60,15.4,143,15.4,35,15.4,3,
15.5,60,15.5,143,15.5,35,15.5,3,
15.6,60,15.6,143,15.6,35,15.6,3,
15.7,60,15.7,143,15.7,35,15.7,3,
15.8,60,15.8,143,15.8,35,15.8,3,
15.9,60,15.9,143,15.9,35,15.9,3,
16,60,16,143,16,35,16,3,
16.1,60,16.1,143,16.1,35,16.1,3,
16.2,60,16.2,143,16.2,35,16.2,3,
16.3,60,16.3,143,16.3,35,16.3,3,
16.4,60,16.4,143,16.4,35,16.4,3,
16.5,60,16.5,143,16.5,35,16.5,3,
16.6,60,16.6,143,16.6,35,16.6,3,
16.7,60,16.7,143,16.7,35,16.7,3,
16.8,60,16.8,143,16.8,35,16.8,3,
16.9,60,16.9,143,16.9,35,16.9,3,
17,60,17,143,17,35,17,3,
17.1,60,17.1,143,17.1,35,17.1,3,
17.2,60,17.2,143,17.2,35,17.2,3,
17.3,60,17.3,143,17.3,35,17.3,3,
17.4,60,17.4,143,17.4,35,17.4,3,
17.5,60,17.5,143,17.5,35,17.5,3,
17.6,60,17.6,143,17.6,35,17.6,3,
17.7,60,17.7,143,17.7,35,17.7,3,
17.8,60,17.8,143,17.8,35,17.8,3,
17.9,60,17.9,143,17.9,35,17.9,3,
18,60,18,143,18,35,18,3,
